rank,title,studio,worldwide,domestic,dom_pct,overseas,os_pct
172,Blindspotting,LG/S,4900000.0,4300000.0,89.1,530000.0,10.9
173,Cold War (2018),Amazon,4600000.0,4600000.0,100.0,0.0,0.0
174,Papillon (2018),BST,4500000.0,2300000.0,51.7,2200000.0,48.3
175,Gotti,VE,4300000.0,4300000.0,100.0,0.0,0.0
176,The Mercy,Scre.,4300000.0,29500.0,0.7,4200000.0,99.3
177,Hichki,Yash,4200000.0,330000.0,7.8,3900000.0,92.2
178,Ya Veremos,PNT,4200000.0,4200000.0,100.0,0.0,0.0
179,Don't Worry He Won't Get Far on Foot,Amazon,3900000.0,1400000.0,36.6,2500000.0,63.4
180,A Private War,Aviron,3800000.0,1600000.0,42.7,2200000.0,57.3
181,Ben is Back,RAtt.,3700000.0,3700000.0,100.0,0.0,0.0
182,Bad Samaritan,Electric,3400000.0,3400000.0,100.0,0.0,0.0
183,Gauguin: Voyage to Tahiti,Cohen,3300000.0,200000.0,6.0,3100000.0,94.0
184,Shoplifters,Magn.,3300000.0,3300000.0,100.0,0.0,0.0
185,The Front Runner,Sony,3200000.0,2000000.0,61.7,1200000.0,38.3
186,2001: A Space Odyssey (2018 re-release),WB,3200000.0,3200000.0,100.0,0.0,0.0
187,Wildlife,IFC,3100000.0,1100000.0,33.9,2000000.0,66.1
188,La Boda de Valentina,PNT,2800000.0,2800000.0,100.0,0.0,0.0
189,You Were Never Really Here,Amazon,2500000.0,2500000.0,100.0,0.0,0.0
190,Billionaire Boy's Club,VE,2500000.0,1300.0,0.1,2500000.0,99.9
191,The Rider,SPC,2400000.0,2400000.0,100.0,0.0,0.0
192,Mary and the Witch's Flower,GK,2400000.0,2400000.0,100.0,0.0,0.0
193,Bilal: A New Breed of Hero,VE,2200000.0,491000.0,22.3,1700000.0,77.7
194,A Fantastic Woman,SPC,2000000.0,2000000.0,100.0,0.0,0.0
195,MET Opera: La Traviata,Fathom,1900000.0,1900000.0,100.0,0.0,0.0
196,Capernaum,SPC,1700000.0,1700000.0,100.0,0.0,0.0
197,Finding Your Feet,RAtt.,1400000.0,1400000.0,100.0,0.0,0.0
198,I Still See You,LGF,1400000.0,1400.0,0.1,1400000.0,99.9
199,Never Look Away,SPC,1300000.0,1300000.0,100.0,0.0,0.0
200,Maria by Callas,SPC,1300000.0,1300000.0,100.0,0.0,0.0
201,Mandy,RLJ,1200000.0,1200000.0,100.0,0.0,0.0
202,Andhadhun,Eros,1200000.0,1200000.0,100.0,0.0,0.0
203,Lean on Pete,A24,1200000.0,1200000.0,100.0,0.0,0.0
204,Nothing to Lose (2018),Swen,1000000.0,1000000.0,100.0,0.0,0.0
205,Raid (2018),Eros,1000000.0,1000000.0,100.0,0.0,0.0
206,The Insult,Cohen,1000000.0,1000000.0,100.0,0.0,0.0
207,Little Italy,EOne,990000.0,990000.0,100.0,0.0,0.0
208,The Catcher Was a Spy,IFC,954000.0,725000.0,76.0,229000.0,24.0
209,The Miseducation of Cameron Post,FR,905000.0,905000.0,100.0,0.0,0.0
210,Kedarnath,PackYourBag,901000.0,901000.0,100.0,0.0,0.0
211,Schindler's List (2018 re-release),Uni.,833000.0,833000.0,100.0,0.0,0.0
212,Mirai,GK,813000.0,813000.0,100.0,0.0,0.0
213,Beast,RAtt.,800000.0,800000.0,100.0,0.0,0.0
214,Pokemon the Movie: The Power of Us,Fathom,789000.0,789000.0,100.0,0.0,0.0
215,The Party (2017),RAtt.,750000.0,750000.0,100.0,0.0,0.0
216,Burning,WGUSA,719000.0,719000.0,100.0,0.0,0.0
217,Foxtrot,SPC,619000.0,619000.0,100.0,0.0,0.0
218,The Sound of Music (2018 re-release),Fathom,616000.0,616000.0,100.0,0.0,0.0
219,The Big Lebowski (20th Anniversary),Fathom,583000.0,583000.0,100.0,0.0,0.0
220,Manmarziyaan,Eros,567000.0,567000.0,100.0,0.0,0.0
221,Loveless (2018),SPC,566000.0,566000.0,100.0,0.0,0.0
222,Tommy Wiseau's The Room,Fathom,550000.0,550000.0,100.0,0.0,0.0
223,Fireworks (2018),GK,525000.0,525000.0,100.0,0.0,0.0
224,The Spy Gone North,CJ,501000.0,501000.0,100.0,0.0,0.0
225,The Happy Prince,SPC,466000.0,466000.0,100.0,0.0,0.0
226,Final Portrait,SPC,462000.0,462000.0,100.0,0.0,0.0
227,Bag of Marbles,Gaum.,411000.0,411000.0,100.0,0.0,0.0
228,Vertigo (60th Anniversary),Fathom,394000.0,394000.0,100.0,0.0,0.0
229,Oh Lucy!,FM,375000.0,375000.0,100.0,0.0,0.0
230,Mountain,Greenwich,365000.0,365000.0,100.0,0.0,0.0
231,Time Freak,Grindstone,266000.0,10000.0,3.8,256000.0,96.2
232,What They Had,BST,260000.0,260000.0,100.0,0.0,0.0
233,Batti Gul Meter Chalu,Eros,250000.0,250000.0,100.0,0.0,0.0
234,Borg vs. McEnroe,Neon,231000.0,231000.0,100.0,0.0,0.0
235,Matangi/Maya/M.I.A.,Abr.,231000.0,231000.0,100.0,0.0,0.0
236,Mazinger Z: INFINITY,Fathom,221000.0,221000.0,100.0,0.0,0.0
237,Fate/Stay Night: Heaven's Feel - I. Presage Flower,Fathom,194000.0,194000.0,100.0,0.0,0.0
238,Summer 1993,Osci.,186000.0,186000.0,100.0,0.0,0.0
239,Maquia: When the Promised Flower Blooms (Subtitled),Elev.,186000.0,186000.0,100.0,0.0,0.0
240,Karwaan,PackYourBag,182000.0,182000.0,100.0,0.0,0.0
241,Last Letter,CL,181000.0,181000.0,100.0,0.0,0.0
242,The Accidental Detective 2: In Action,CJ,179000.0,179000.0,100.0,0.0,0.0
243,The Guardians,MBox,177000.0,177000.0,100.0,0.0,0.0
244,Luis & the Aliens,VPD,170000.0,170000.0,100.0,0.0,0.0
245,Double Lover,Cohen,168000.0,168000.0,100.0,0.0,0.0
246,Ghost Stories,IFC,149000.0,149000.0,100.0,0.0,0.0
247,Museo,Vita.,149000.0,149000.0,100.0,0.0,0.0
248,The Little Mermaid (2018),Conglomerate,147000.0,147000.0,100.0,0.0,0.0
249,The Young Karl Marx,Orch.,126000.0,126000.0,100.0,0.0,0.0
250,Becoming Astrid,MBox,120000.0,120000.0,100.0,0.0,0.0
251,Ryuichi Sakamoto: Coda,MUBI,117000.0,117000.0,100.0,0.0,0.0
252,Gonjiam: Haunted Asylum,WGUSA,115000.0,115000.0,100.0,0.0,0.0
253,Take Point,CJ,112000.0,112000.0,100.0,0.0,0.0
254,The Dawn Wall,Orch.,112000.0,112000.0,100.0,0.0,0.0
255,The Negotiation,CJ,111000.0,111000.0,100.0,0.0,0.0
256,The Captain,MBox,109000.0,109000.0,100.0,0.0,0.0
257,Mary Shelley,IFC,109000.0,109000.0,100.0,0.0,0.0
258,In Between,FM,108000.0,108000.0,100.0,0.0,0.0
259,Namaste England,Eros,104000.0,104000.0,100.0,0.0,0.0
260,Happy Phirr Bhag Jayegi ,Eros,103000.0,103000.0,100.0,0.0,0.0
261,Ismael's Ghosts,Magn.,103000.0,103000.0,100.0,0.0,0.0
262,Revenge (2018),Neon,102000.0,102000.0,100.0,0.0,0.0
263,Unstoppable (2018),WGUSA,101000.0,101000.0,100.0,0.0,0.0
264,Reign of Judges: Title of Liberty - Concept Short,Darin Southa,98400.0,93200.0,94.7,5200.0,5.3
265,The Third Murder,FM,89300.0,89300.0,100.0,0.0,0.0
266,The House That Jack Built,IFC,88000.0,88000.0,100.0,0.0,0.0
267,Custody,KL,83900.0,83900.0,100.0,0.0,0.0
268,Godard Mon Amour,Cohen,82300.0,82300.0,100.0,0.0,0.0
269,Just a Breath Away,EOne,78000.0,78000.0,100.0,0.0,0.0
270,Mukkabaaz,Eros,75900.0,75900.0,100.0,0.0,0.0
271,Keys to the Heart,CJ,75100.0,75100.0,100.0,0.0,0.0
