title,rank,rating,imdbscore,movie_directors
Monster Family,116,PG,4.8,Holger Tappe
White Boy Rick,117,R,6.4,Yann Demange
Winchester,118,PG-13,5.4,"Michael Spierig, Peter Spierig"
The Death of Stalin,119,R,7.2,Armando Iannucci
The Strangers: Prey at Night,120,R,5.2,Johannes Roberts
"Paul, Apostle of Christ",121,PG-13,6.7,Andrew Hyatt
Padmaavat,122,Not Rated,7.0,Sanjay Leela Bhansali
Proud Mary,123,R,4.9,Babak Najafi
SuperFly,124,R,5.0,Director X.
If Beale Street Could Talk,125,R,7.3,Barry Jenkins
Burn the Stage: The Movie,126,N/A,8.9,Jun-Soo Park
Detective K: Secret of the Living Dead,127,N/A,6.1,Suk-Yoon Kim
The Wife,128,R,7.2,Björn Runge
Hell Fest,129,R,5.5,Gregory Plotkin
Chappaquiddick,130,PG-13,6.5,John Curran
They Shall Not Grow Old,131,R,8.4,Peter Jackson
Free Solo,132,PG-13,8.2,"Jimmy Chin, Elizabeth Chai Vasarhelyi"
The Children Act,133,R,6.7,Richard Eyre
Beautiful Boy,134,R,7.3,Felix van Groeningen
Hunter Killer,135,R,6.6,Donovan Marsh
Tully,136,R,7.0,Jason Reitman
Unfriended: Dark Web,137,R,5.9,Stephen Susco
Upgrade,138,R,7.6,Leigh Whannell
Unsane,139,R,6.4,Steven Soderbergh
The Sisters Brothers,140,R,7.0,Jacques Audiard
Welcome to Marwen,141,PG-13,6.0,Robert Zemeckis
Hotel Artemis,142,R,6.1,Drew Pearce
The Secret of Marrowbone,143,R,6.6,Sergio G. Sánchez
102 Not Out,144,PG,7.5,Umesh Shukla
Back to Burgundy,145,N/A,6.9,Cédric Klapisch
The Bookshop,146,PG,6.5,Isabel Coixet
Boy Erased,147,R,7.0,Joel Edgerton
The Old Man,148,N/A,7.3,Ermek Tursunov
Gringo,149,R,6.1,Nash Edgerton
Golden Slumber,150,N/A,7.1,Yoshihiro Nakamura
Kin,151,PG-13,5.7,"Jonathan Baker, Josh Baker"
The Big Bad Fox and Other Tales...,152,G,7.4,"Patrick Imbert, Benjamin Renner"
Traffik,153,R,6.0,Deon Taylor
Can You Ever Forgive Me?,154,R,7.2,Marielle Heller
7 Days in Entebbe,155,PG-13,5.8,José Padilha
Pope Francis: A Man of His Word,156,PG,5.9,Wim Wenders
Condorito: The Movie,157,PG,5.3,"Alex Orrelle, Eduardo Schuldt"
Disobedience,158,R,6.6,Sebastián Lelio
What a Lion!,159,N/A,5.2,William Hanna
Life Itself,160,R,7.8,Steve James
Suspiria,161,R,7.5,Dario Argento
Beirut,162,R,6.4,Brad Anderson
Return of the Hero,163,N/A,6.4,Laurent Tirard
Soorma,164,PG-13,7.4,Shaad Ali
The Hurricane Heist,165,PG-13,5.1,Rob Cohen
Every Day,166,PG-13,6.4,Michael Sucsy
Leave No Trace,167,PG,7.2,Debra Granik
My Hero Academia: Two Heroes,168,PG-13,7.8,Kenji Nagasaki
Destroyer,169,R,6.3,Karyn Kusama
Madame,170,TV-14,6.1,Amanda Sthers
Colette,171,R,6.8,Wash Westmoreland
Blindspotting,172,R,7.4,Carlos López Estrada
Cold War,173,R,7.7,Pawel Pawlikowski
Papillon,174,R,8.0,Franklin J. Schaffner
Gotti,175,R,4.8,Kevin Connolly
The Mercy,176,Not Rated,6.0,James Marsh
Hichki,177,Not Rated,7.5,Siddharth Malhotra
Ya Veremos,178,PG-13,5.5,Pitipol Ybarra
"Don't Worry, He Won't Get Far on Foot",179,R,6.9,Gus Van Sant
A Private War,180,R,6.7,Matthew Heineman
Ben Is Back,181,R,6.8,Peter Hedges
Bad Samaritan,182,R,6.4,Dean Devlin
Gauguin: Voyage to Tahiti,183,N/A,5.9,Edouard Deluc
Shoplifters,184,R,8.0,Hirokazu Koreeda
2001: A Space Odyssey,185,G,8.3,Stanley Kubrick
The Front Runner,186,R,6.2,Jason Reitman
Wildlife,187,PG-13,6.9,Paul Dano
La Boda de Valentina,188,R,4.7,Marco Polo Constandse
You Were Never Really Here,189,R,6.8,Lynne Ramsay
Billionaire Boys Club,190,R,5.6,James Cox
The Rider,191,R,7.5,Chloé Zhao
Mary and the Witch's Flower,192,PG,6.8,"Hiromasa Yonebayashi, Giles New"
Bilal: A New Breed of Hero,193,PG-13,8.0,"Khurram H. Alavi, Ayman Jamal"
A Fantastic Woman,194,R,7.2,Sebastián Lelio
Capernaum,196,R,8.4,Nadine Labaki
Finding Your Feet,197,PG-13,6.7,Richard Loncraine
I Still See You,198,PG-13,5.7,Scott Speer
Never Look Away,199,R,7.7,Florian Henckel von Donnersmarck
Maria by Callas,200,PG,7.2,Tom Volf
Mandy,201,Not Rated,6.6,Panos Cosmatos
Andhadhun,202,Not Rated,8.5,Sriram Raghavan
Lean on Pete,203,R,7.2,Andrew Haigh
Nothing to Lose,204,R,6.7,Steve Oedekerk
Raid,205,Not Rated,7.4,Raj Kumar Gupta
The Insult,206,R,7.7,Ziad Doueiri
Little Italy,207,R,5.7,Donald Petrie
The Catcher Was a Spy,208,R,6.2,Ben Lewin
The Miseducation of Cameron Post,209,Not Rated,6.6,Desiree Akhavan
Kedarnath,210,N/A,6.0,Abhishek Kapoor
Schindler's List,211,R,8.9,Steven Spielberg
Mirai,212,PG,7.1,Mamoru Hosoda
Beast,213,R,6.8,Michael Pearce
Pokémon the Movie: The Power of Us,214,Not Rated,6.5,Tetsuo Yajima
The Party,215,PG,7.6,Blake Edwards
Burning,216,Not Rated,7.6,Chang-dong Lee
Foxtrot,217,R,7.4,Samuel Maoz
The Sound of Music,218,G,8.0,Robert Wise
The Big Lebowski,219,R,8.1,"Joel Coen, Ethan Coen"
Manmarziyaan,220,Not Rated,6.9,Anurag Kashyap
Loveless,221,R,7.7,Andrey Zvyagintsev
The Room,222,R,3.7,Tommy Wiseau
Fireworks,223,N/A,7.8,Takeshi Kitano
